OP,A1,A2,A3,A4 
+,2645,1869,953,7018
+,8215,8836,9408,3636
+,1814,6361,2997,1969
+,6993,565,5649,8198
-,51,0,0,0
+,2514,1007,1195,8089
+,5748,7263,8387,9313
+,710,1807,379,6237
+,9292,505,2118,1729
+,5206,3900,2525,7099
+,551,8420,1600,5024
+,3827,6919,9470,5377
+,8986,3695,368,5062
+,2740,8024,3968,1063
+,3269,3516,560,743
+,7467,1488,4495,7603
-,777,0,0,0
+,9091,3115,6677,1509
+,4762,1199,6776,9942
+,2686,3304,4,3477
+,7491,2223,5104,6011
+,1656,2158,2417,2170
+,7663,1281,9724,8471
+,3682,2589,7612,5472
+,1138,7295,4998,9086
+,1435,6943,5804,8224
+,5547,2693,1601,4002
+,6030,6750,9,2880
+,3527,9000,9921,2470
+,3054,7013,4756,8876
+,8258,6784,4610,7242
-,410,0,0,0
+,98,3637,7029,3437
+,9849,7601,5575,9277
+,659,871,2764,9554
+,7101,7434,9402,7292
+,6206,5005,7719,8055
+,7659,6478,471,2672
+,1213,3408,3201,2309
+,7757,4073,4224,2719
+,3517,1489,9281,3935
+,9869,3688,8964,8553
+,7566,3344,3056,1860
+,7347,3172,62,1689
+,2685,1182,3865,9208
+,3536,4681,3919,448
+,9601,1734,6953,5601
+,7227,7976,3569,3710
+,7888,7894,596,5090
+,3065,1842,7906,9837
+,6716,5435,4488,4801
+,4579,7518,1483,5924
+,5123,8943,9047,3827
+,4269,2630,5589,17
+,4869,1736,170,7370
+,9903,3248,3030,6780
+,5138,1191,1552,5000
+,6784,8222,5142,9336
+,1695,6781,7705,5439
+,2698,2814,3311,1345
-,712,0,0,0
+,3253,2526,979,9057
+,3386,6890,6244,9820
+,6225,568,3005,6186
+,7365,8661,9939,2950
+,6392,5475,3105,5114
+,7986,863,6960,1773
+,5978,9783,56,6206
+,4690,361,8529,8848
+,5044,9584,3113,6628
+,7344,8420,2258,7578
+,421,1080,5977,8632
+,5631,6172,2580,230
+,5059,6089,2716,3350
+,3589,7512,7768,7883
+,9560,5317,7393,9201
+,8852,8556,8751,2019
+,5763,6451,7813,9362
+,722,4952,2022,4011
+,4154,1830,8952,8536
+,2910,8141,346,5841
+,8037,5450,2620,238
+,6354,9645,3732,1636
+,4796,3571,7460,4414
+,7988,7684,9679,6534
+,130,9857,749,3237
+,3674,9533,3209,140
+,4676,2296,185,9814
+,3982,6352,5778,3917
+,6976,1067,1065,1283
+,2806,1249,3762,5159
+,2481,431,6210,4401
+,4529,4952,3513,4235
+,1164,7830,5748,5933
+,8820,8620,8351,2846
+,5937,5402,4054,737
+,8902,737,1036,462
+,2119,2780,4257,9788
+,5807,3141,6778,4924
+,6387,4752,5267,220
+,561,5819,4305,6140
+,2793,3449,2362,7139
+,1463,4799,9674,2180
+,6647,6092,77,3319
+,4565,6822,7094,4758
+,9121,614,400,2704
+,9678,9221,1061,9253
+,6521,1723,1166,1272
+,1988,5128,621,619
-,256,0,0,0
+,6003,8348,2898,7121
+,9392,6285,3278,1024
+,1947,9021,7650,2089
+,9571,8617,8457,813
-,508,0,0,0
+,8579,7169,2237,4712
+,8407,3472,8076,8199
+,9304,4056,4355,94
-,75,0,0,0
+,1729,3946,3230,292
+,5979,337,7885,2786
+,5707,3600,5578,9638
+,1781,420,8304,6454
+,5612,3645,4278,5572
+,4574,1973,6210,8541
+,7369,5484,312,4682
+,6286,3342,2863,3216
+,2621,1996,4071,5137
+,4221,4683,4584,6133
+,7830,6071,7293,7685
+,2930,6204,281,7443
-,724,0,0,0
+,1201,922,7653,6977
-,355,0,0,0
+,2374,4555,5321,5140
+,4662,6353,9827,5503
+,1809,5005,7890,9419
+,2260,6530,8503,1226
-,8,0,0,0
+,4248,6280,3630,9567
+,6208,2709,3873,4306
+,1710,1379,3419,6404
+,5817,7638,9597,5403
-,960,0,0,0
+,8046,5588,7691,443
+,1448,2568,6737,2477
+,8880,2668,9756,142
+,3599,3024,9124,391
+,5209,8860,9750,4008
+,6023,8473,4542,3548
+,5410,5308,1418,2423
+,9414,2791,4238,3997
+,8972,9513,7838,3153
+,6742,8367,8527,1063
+,3196,4494,3127,5111
+,4252,7731,9740,5305
+,3738,9081,6645,8674
+,5646,6202,7635,5469
+,7271,8363,674,3734
+,2451,5837,8253,5868
+,2680,7225,206,2097
+,2909,2604,5899,9561
+,333,6989,3331,9753
+,9286,7840,7675,994
+,3003,1743,7962,5723
+,737,9218,9353,1806
+,5089,8548,9647,3940
+,9679,6097,1401,2297
+,9550,7658,5162,2121
+,9832,9920,2145,2049
+,4392,4735,8833,921
+,3181,7082,2017,6488
-,288,0,0,0
+,3311,2856,4396,7004
+,7111,8171,8820,8584
+,7459,2988,9944,6384
+,8849,1015,776,1055
+,3567,4795,5180,4151
+,3976,1286,6700,9635
+,5644,3830,1537,6138
+,7573,7134,4343,9908
+,4386,8065,5147,5143
+,6485,9936,5143,1869
+,4706,6525,4838,4279
+,9930,5420,5176,4178
+,9475,7299,938,2359
-,116,0,0,0
+,7638,4252,6574,3420
+,3824,2664,2156,1505
+,2082,538,7849,9398
+,8528,2276,8351,9751
+,3043,6386,520,1123
+,5638,3431,4315,649
+,5383,87,7418,9274
+,976,8630,4545,3351
+,1951,8296,7765,4768
+,3136,2454,2101,1452
+,6585,5041,5707,6464
+,303,8774,1841,5126
+,8231,2479,6473,9323
+,675,2646,6073,8065
+,3356,8896,3515,3673
+,4114,4549,6148,6450
+,2209,7897,3394,9302
+,5813,4084,3754,3215
+,3815,7628,13,9441
+,8265,8309,5522,3930
+,2810,1548,1939,6975
+,9044,2526,6616,6877
+,4061,8427,4728,9422
+,8304,8730,6209,5242
+,4485,1183,5862,3405
+,7732,2972,2593,7407
+,3985,3437,2939,3685
+,3765,835,2130,3188
+,2776,5823,7210,9771
+,3919,2591,5567,9706
+,8869,366,6180,7607
+,3569,6978,2067,4958
+,3394,977,5571,1816
+,487,1693,9351,7545
+,3079,5747,2069,190
+,9525,1178,4053,3576
+,6563,410,5005,2214
+,8148,7890,6449,2127
+,6781,7954,7714,9664
+,3963,3440,2341,7969
+,5888,4835,4143,2598
+,4388,4861,3442,9834
+,6550,4015,4526,1546
+,9502,3074,505,3086
+,1956,4870,9475,6960
+,2292,6311,8633,4608
+,2779,3778,4294,8110
+,1520,5309,9921,8131
+,984,6944,7338,7577
+,8774,4690,9835,8936
+,2569,9410,6643,9306
+,1482,9038,160,9500
-,193,0,0,0
+,5634,4224,3443,6049
+,6857,6689,8755,6431
+,2054,7572,5348,7028
+,6995,668,2566,9355
+,8689,1182,5089,6832
+,6352,7116,8949,6251
+,1065,1556,735,4090
+,7695,1642,6694,7199
+,4851,4431,6759,6384
+,5386,435,994,294
+,7893,9307,1981,6570
+,9335,2024,8155,4682
+,764,9540,8607,4355
+,5445,6186,6520,4172
+,9124,9908,7772,8964
+,5385,4635,3646,7637
+,9665,9725,7138,3379
+,4756,8509,4779,3029
+,1607,525,3125,7174
+,1002,4306,8179,7778
+,7499,828,6993,3338
-,957,0,0,0
+,3709,6519,5802,7574
+,5969,8326,8862,6528
+,2640,7036,6617,7662
+,7668,4762,8459,587
-,862,0,0,0
+,715,9733,6077,8288
+,5864,18,6056,7448
+,9014,6536,3032,1857
+,8086,5616,1029,4214
+,87,820,7146,5285
+,4045,6945,2255,7027
+,7833,9256,8604,625
+,1795,3514,3051,9609
+,4309,6069,8712,7940
+,3385,2471,2734,2315
+,6271,8066,7696,5231
+,3309,5641,8400,3821
+,1742,6932,6390,868
-,480,0,0,0
+,5863,8537,6974,511
+,4257,223,6984,9999
+,1655,4781,6866,8260
+,293,3549,6782,3361
+,5668,6267,2441,3563
-,943,0,0,0
+,1470,1827,3698,9117
+,4163,2187,5169,5897
+,5681,5940,2617,2532
+,4245,4316,4003,6492
+,6596,3269,9937,2877
+,2850,9066,9678,7043
+,9276,7679,259,3826
+,5620,2490,1873,626
+,8677,5352,1622,8090
+,2077,1878,9740,6065
-,666,0,0,0
+,4600,4293,7105,9865
+,281,2242,7461,7466
+,748,7534,5585,771
+,497,5045,6896,1253
+,6586,8939,4000,2945
+,4087,7748,1050,9941
-,757,0,0,0
+,51,8542,1471,8718
+,8518,3091,9676,7524
+,1166,6421,1792,9996
-,39,0,0,0
+,4700,874,6700,3588
+,3242,6472,4752,7004
+,4409,8456,3745,9424
+,7856,399,2000,5236
+,591,8265,6470,308
+,5940,9096,4851,4013
+,6305,3391,8377,5860
+,273,4088,7605,8177
+,5701,9666,7970,8143
+,4847,955,5504,9044
+,8395,9234,338,4935
+,8187,3920,7737,7773
+,2249,8183,4006,2936
-,977,0,0,0
+,9353,5527,4102,5615
+,3308,9987,9111,3492
+,7074,5814,2256,7741
+,4953,5957,4837,427
+,9478,5224,1111,834
+,5245,927,9378,5775
+,3799,2183,5135,1370
+,9809,6876,1824,7073
+,7575,3130,8632,5678
-,393,0,0,0
+,3339,4661,5165,1432
+,7810,7973,9302,9298
+,7303,1343,192,2031
+,7802,5151,4382,5778
+,6626,7981,6616,2067
+,5539,4471,1031,3018
+,2017,9879,8983,7967
+,2795,9130,4929,4129
+,6163,1204,8606,8200
+,7400,7401,2843,1181
+,5178,8462,4387,7562
+,2593,7054,2014,7643
+,8386,2120,7854,1581
-,942,0,0,0
+,2620,324,6161,6261
+,7454,8417,1802,5091
+,9858,3585,5468,8965
+,4651,1811,168,7108
+,9602,3265,3646,9544
+,5513,3387,3331,171
+,1292,546,1062,8063
+,439,6770,2865,8765
+,2657,1537,720,7873
+,2349,1693,2218,9691
+,9777,5519,2864,2295
+,1953,7041,7010,4248
+,2490,1919,9285,8901
-,518,0,0,0
+,257,1976,5479,320
+,2106,4442,7815,9386
+,7740,8581,2218,2507
+,9723,1312,7136,2721
+,9085,6633,3895,5173
+,8260,5277,590,5151
+,5975,7574,821,2550
+,1301,6235,7573,9795
+,1519,7298,1455,7910
+,6700,6746,9262,4384
+,2339,5789,4167,474
+,8102,1454,8891,8638
+,1646,9859,276,6274
+,8165,797,8824,5407
+,5355,1055,7560,7411
+,9155,2525,38,2896
+,653,2796,9941,1849
+,4943,9768,7710,7331
+,1358,2666,64,747
+,2505,2305,9810,7773
+,3031,2955,6777,8539
+,3998,8227,2081,9735
+,2601,4193,8833,7526
+,5092,3553,2284,2873
+,1153,8498,6554,6206
+,7257,6206,3267,9654
+,3272,6428,9970,7990
+,8806,5187,8718,3432
+,6118,3930,7797,5803
+,1295,8833,8254,5497
+,6982,8941,3506,2855
+,6064,8292,9550,210
+,4377,5331,5268,1152
+,5456,5314,9584,1281
-,166,0,0,0
+,4527,3712,5493,4399
+,5865,3635,8580,5448
+,1642,2015,8578,4416
+,1260,2717,7580,1437
-,368,0,0,0
-,363,0,0,0
+,287,5803,3068,4173
+,8608,7147,4417,7904
+,374,9594,5353,2559
+,9738,9022,1938,8645
+,8872,6769,1649,6757
+,6915,7085,4421,6771
+,7413,5918,2168,5767
+,3249,3289,727,5482
+,732,2961,5778,2737
+,9377,1556,4926,897
+,2639,223,8353,2623
+,2360,6604,3590,1733
+,3251,6036,1932,480
+,4800,1027,8822,2774
+,6002,4389,6838,9238
+,8160,9333,5368,9934
+,3022,7330,8884,9602
+,6532,1947,4299,1175
-,722,0,0,0
+,1481,2272,6638,9032
+,5141,262,8401,4610
+,2692,4589,1665,7119
+,6826,7268,2353,4296
+,8370,9706,4133,7892
+,70,5133,8494,9609
+,6293,8746,9195,7607
+,9592,8017,5686,6806
+,6640,2143,5610,1291
+,1611,8434,5745,1930
+,3472,1638,6796,2242
+,7291,8310,7504,3352
+,9128,3091,5078,162
+,9242,5058,5373,1763
+,3974,8864,6324,943
-,74,0,0,0
+,5656,414,3409,2618
+,9134,3091,4657,5654
+,136,8876,2775,1909
+,8916,2589,4141,8235
-,380,0,0,0
+,9688,817,2435,6912
+,1089,2844,1752,6593
+,2216,1376,1533,4016
+,8052,6025,6891,9787
+,3497,3396,7455,747
+,7448,9234,8325,7141
+,7398,1575,2951,8356
+,3186,956,9436,8519
+,4340,7377,7109,1851
+,7498,6561,3241,4223
+,5436,3865,9980,4715
+,4935,5209,1147,9572
+,6665,5605,8117,4399
+,7474,1842,9466,9450
+,7203,8114,3835,4840
+,9212,6361,9661,3004
+,2714,2238,813,79
+,5066,3543,2211,4652
+,6672,7471,5946,8663
+,4905,155,7224,4914
+,9794,1409,1722,2306
+,4970,3920,6013,9307
-,949,0,0,0
+,1584,2576,932,8249
+,1632,9754,5832,6030
+,5650,7730,9259,3385
+,4887,8809,6859,3543
-,108,0,0,0
+,2585,1833,1131,8782
+,8644,9413,440,9804
+,7622,7340,6483,2645
+,8431,5597,7304,3445
+,1517,8700,266,7438
+,7942,8395,9061,6591
+,1304,4653,1580,5314
+,6487,9256,6741,529
-,641,0,0,0
+,385,8605,9756,1304
+,4791,4217,1559,5670
-,712,0,0,0
+,9259,1516,7700,526
-,528,0,0,0
-,220,0,0,0
+,8994,5589,5257,1103
+,9201,6952,6349,146
+,3060,6957,3338,21
+,2480,7117,9436,6731
+,1861,974,4842,7529
+,5666,9550,6102,2459
-,384,0,0,0
+,2591,5231,4492,4568
+,3856,5578,5879,281
+,3540,6034,6176,5006
+,2917,2533,5305,7093
+,5725,4404,6000,9418
+,4041,7195,316,6470
+,4281,9426,5626,724
+,4255,1016,1209,7092
+,3777,4087,8169,2503
+,138,7230,1211,5267
+,8230,3606,3947,7750
+,7932,2174,8151,5535
+,2874,6360,4154,1980
+,5506,7278,9168,8336
+,3179,5369,3286,7168
+,82,8058,977,6674
-,651,0,0,0
+,2834,5801,5613,1221
+,1218,3113,8078,4766
+,7686,9071,5448,7335
+,2265,4434,1659,9319
+,6631,8819,4355,6101
+,5482,7700,7927,9317
+,245,1509,8900,1898
-,246,0,0,0
+,6986,6272,996,6464
+,7377,7187,5918,5215
+,4198,3712,1381,1915
+,7835,7796,6403,4013
+,4122,4435,8147,6180
-,789,0,0,0
+,8766,3368,1640,9800
+,6699,1276,3063,9808
+,2731,8562,1878,6128
+,9686,2632,2909,5661
-,746,0,0,0
+,9082,7238,802,2815
+,346,6311,5590,2949
+,8266,6679,5864,2160
+,1013,3214,8345,35
+,4491,2425,4751,6497
-,39,0,0,0
+,9553,2327,214,5595
+,7999,6423,2108,5203
+,1929,3354,4750,8541
+,744,7050,9733,2703
+,6901,3363,5799,7241
+,8910,5115,2856,5230
+,4466,5620,7599,9925
+,9469,7420,7090,762
+,6117,1914,3996,1557
+,8604,3120,2801,1295
-,153,0,0,0
+,1751,2806,5167,2104
+,3139,548,6734,735
-,376,0,0,0
+,2173,3760,7413,4495
+,4286,295,1176,4157
+,9656,5631,657,1374
+,2470,8189,9567,3697
+,8932,2093,2921,3940
+,5695,4938,8068,7433
+,5994,6139,6499,7593
+,4894,6322,4901,1990
+,6573,6805,570,8662
-,663,0,0,0
+,1527,3635,4254,4256
+,5500,5709,9125,5548
-,147,0,0,0
+,5105,8107,5502,285
+,4613,8392,377,6976
+,5765,2794,9600,9395
+,8648,6798,1778,7629
+,6508,4451,3632,533
+,4422,3777,1901,6459
+,5465,2797,2293,9703
+,1302,6140,8047,7590
+,9265,639,5992,3732
+,1503,9279,7199,5622
+,5295,6752,3049,3581
+,1571,4734,8610,2220
+,5611,7442,3464,2903
+,8778,6468,1846,3459
+,8886,7657,4745,537
-,775,0,0,0
+,6331,9083,5843,2013
+,3360,5939,2375,9785
+,5603,9943,4243,8724
+,1083,9399,8600,4064
+,746,9224,7037,2195
+,4448,602,9652,1276
+,5913,1141,4846,5456
-,946,0,0,0
+,5464,1527,4267,4034
+,6802,5411,2869,4371
+,5973,8393,1915,4821
+,9241,2854,5169,8393
+,5234,964,7562,5599
+,8660,8114,961,8781
+,3664,3909,7571,7532
+,2061,2337,4756,9533
+,1514,3020,5452,2113
+,8269,1289,8160,9786
+,8028,7364,664,1942
+,967,1036,1706,9141
+,6983,7607,1620,4544
+,1137,4640,4252,5462
-,81,0,0,0
+,4678,2829,585,3211
+,9318,172,9530,9870
+,5946,8859,4813,8825
+,8809,2726,4208,758
+,151,6278,5948,8297
+,7633,9131,1115,9666
+,5177,1496,3032,1984
+,9563,6849,7737,3663
-,153,0,0,0
+,7433,3493,9545,2240
+,4570,2440,2001,2640
+,4476,4887,6643,3988
+,152,6286,4517,2870
+,3715,1732,1579,5797
+,2983,8825,2507,5468
+,7463,9085,4610,2544
+,585,4803,2035,228
+,6407,5523,8605,8918
+,1458,4123,6911,956
+,2573,90,6157,4897
+,582,9944,418,3544
+,2632,9136,7441,2344
-,341,0,0,0
+,3467,7416,6367,3108
+,1253,4381,1425,5447
+,5227,2648,7757,3608
-,725,0,0,0
+,2414,6280,4941,8383
+,1826,6355,3905,5651
-,62,0,0,0
+,6093,6992,8859,8386
+,7179,2008,5142,5734
+,5335,1903,1240,8607
+,1214,4338,1467,3664
+,5758,1422,1646,8051
+,6145,9622,5037,3506
-,412,0,0,0
+,8387,5880,3232,3480
+,8781,6848,2502,8138
+,1132,6049,2255,6784
+,2057,760,6974,1551
-,417,0,0,0
+,5249,5432,4807,7187
+,9785,9404,1506,3122
+,1601,6947,495,3834
+,4102,2970,2912,4888
+,3585,2717,5085,1331
+,6707,927,645,6136
+,3929,978,6444,3369
+,9018,9015,7454,368
+,2010,4030,1756,1430
+,7043,4049,1586,7059
+,5146,419,1865,3265
+,7822,2079,2268,4266
+,5923,5431,173,9672
+,3812,9189,9917,3693
+,6071,1458,5271,4521
+,6772,2518,4141,7776
+,389,9943,4228,5166
+,2952,4318,7277,605
+,2625,3214,953,2292
+,3338,8856,7570,8041
+,2949,7501,7133,6936
+,3818,4109,8501,3380
+,6560,1201,8823,5546
+,5147,7610,3255,7478
+,9209,3469,8835,1902
+,1715,5613,9347,8150
+,1266,5315,805,3603
+,4117,816,8849,3416
-,42,0,0,0
+,2622,433,436,3436
+,2044,2878,459,444
+,8596,7160,5087,1102
+,8145,4213,4448,1514
+,3795,3925,5238,4427
+,3555,9497,3515,1295
+,6,5940,2142,8121
-,477,0,0,0
+,847,8196,4073,5850
+,5797,5462,9892,8729
+,6794,4532,5738,793
+,664,319,7352,3170
+,3796,5871,9160,4307
+,72,8783,9844,3707
+,2364,9711,5309,3540
+,1051,7694,6138,3131
+,9968,8849,8958,2143
+,8977,5629,2398,1437
+,3842,341,9768,3645
+,5013,4704,8221,9768
-,18,0,0,0
+,843,697,4134,7172
+,204,350,7195,7478
+,8195,4845,2477,7268
+,7910,4067,1439,8119
+,2966,4857,2788,2994
+,1219,5639,7361,5896
+,3954,1044,2273,1883
+,4020,9478,7899,8973
+,3449,1686,1089,1295
+,6709,6339,9515,7153
+,7366,2681,2646,8732
-,214,0,0,0
-,887,0,0,0
-,299,0,0,0
+,6721,5685,5489,9486
+,9565,4247,7515,4296
+,7198,1862,9204,7365
+,1576,7408,1024,6981
+,2596,1761,7675,84
+,6290,7585,9962,7730
+,7142,108,9480,4416
+,2217,7,6,6559
+,297,654,9041,6013
+,7753,150,9449,1341
+,8483,5223,7650,781
+,6311,3364,9644,8052
+,9774,9927,8439,3198
+,9389,3699,1085,1004
+,5251,5204,5594,9674
-,74,0,0,0
+,3352,8806,2181,9191
+,5097,2054,2825,483
+,6684,990,5899,9779
+,6175,2340,6462,274
+,7156,3000,7327,7204
+,852,7615,855,1844
+,7881,4240,13,7890
+,9518,3094,3706,1653
+,6260,7606,3511,5843
+,6167,3453,1720,3073
+,9961,3081,3513,3912
+,9319,713,2871,3854
+,3720,6929,6567,747
+,2751,9577,8094,7862
+,2341,6407,2293,6120
+,433,8858,9262,1474
+,2425,6821,7756,6297
+,108,3793,5251,3088
+,3477,7905,8028,9011
+,3312,3235,6930,2070
+,5947,138,268,4006
+,6752,2442,4757,5721
+,4089,8056,5411,678
+,7126,8843,579,9797
+,1032,8378,6491,4387
+,1589,7028,8016,309
+,329,3661,9633,1490
+,1355,739,7167,1317
+,6105,4078,4563,380
+,5956,7870,4177,4542
+,1161,9801,7637,4419
+,2343,4624,3602,7955
+,7684,9455,2558,786
+,2213,9498,1747,7426
+,1565,6148,2357,820
+,8617,9477,2589,3346
+,5880,17,8039,8103
+,3505,7814,1656,9593
+,1081,1059,4539,4755
+,8460,8106,4964,2512
+,522,6989,2308,9261
+,9700,6985,7881,3228
+,5020,9918,3070,3672
+,9462,868,2196,9245
+,1221,4465,3243,5521
-,659,0,0,0
+,1562,7028,4818,3445
+,6262,4354,8068,481
+,735,3130,8703,6229
+,8374,334,3782,2234
+,716,2900,8614,766
+,6842,5008,4342,8592
+,5363,4498,9251,5176
+,2732,1107,2992,8303
+,9250,1072,7096,7805
+,3049,9768,2905,1561
+,9821,6945,5308,1756
+,6682,1123,7389,9156
+,6833,4111,1747,5805
+,7081,4546,8851,9238
+,9977,553,2161,7910
+,8198,3901,8998,9964
+,6239,9427,7669,4146
+,962,2855,1819,7716
+,2996,4687,80,588
+,6944,4420,5073,5406
+,8728,7676,2671,5677
+,9996,7973,477,8883
+,3860,6797,5036,239
-,840,0,0,0
+,1372,5193,571,1754
+,882,8391,3977,1118
+,4300,1624,8835,6992
+,7487,5567,1766,9554
-,460,0,0,0
+,8345,753,459,8644
+,5663,8653,2712,6613
+,3879,2300,9045,7936
+,2114,5897,8596,2247
+,9689,9364,7668,7845
+,4629,2599,3288,6450
+,5622,5584,8092,5522
+,3654,3670,7099,6101
+,3046,1302,4172,7125
+,5408,9513,1545,7233
+,9682,2221,6387,4656
+,6726,7387,3066,6339
+,391,4959,8267,2285
+,539,9949,3960,8138
+,2852,3156,2939,9238
-,49,0,0,0
+,5555,9538,4104,6785
+,9244,583,8591,5269
+,166,3675,3858,240
+,8873,5502,433,725
+,5153,7288,6604,5094
+,7119,4077,5455,4259
+,5919,9259,6964,9577
+,2520,5212,7002,316
+,9933,9188,3444,2069
+,9326,6712,9720,4695
+,4670,4977,6312,5604
-,185,0,0,0
+,4200,9542,1085,2653
+,1842,9703,8997,4597
+,6357,3540,9832,3341
+,9893,9149,1383,9619
+,6874,5944,1792,5907
+,6936,8285,3286,1197
+,8771,8471,6280,281
+,2488,7997,1376,5012
+,4546,7504,7703,5213
+,9482,9549,4054,5949
+,3396,5351,8223,7695
+,5154,7562,8491,1042
+,9660,9331,7924,6573
+,6673,3116,531,5284
+,110,2934,7216,3387
-,290,0,0,0
+,4474,3423,654,2666
+,3938,1660,2199,8023
+,8412,873,8289,2823
+,75,7639,9791,2705
+,1054,3664,1705,6870
+,8790,160,6002,9969
+,935,9668,9440,2330
+,9652,111,5954,8805
+,3010,4146,9115,5911
+,8443,1601,6918,714
+,1551,5967,1407,5183
+,8179,7728,1794,7128
+,2202,9289,3579,3081
+,2562,8241,5398,5893
+,8076,5511,1978,2752
+,781,1010,1301,7259
+,6865,7290,4858,6687
+,4544,8788,6104,1094
+,9978,3160,9609,4896
+,4827,7349,6959,5925
+,9667,424,7675,3224
+,7614,4440,7762,5897
+,8998,8698,9057,4897
+,3489,7516,1638,735
+,9847,6157,5266,7320
+,8440,9770,662,1561
+,6627,7898,4114,8676
+,4183,7198,1817,1552
+,8578,7311,3604,4004
+,3267,2611,2432,4357
+,8013,1605,2714,8267
+,6393,565,4019,9224
+,4893,8310,9503,1857
-,691,0,0,0
+,6523,9926,5099,9559
+,5442,2036,2290,981
+,1210,4476,8131,987
-,119,0,0,0
+,1557,7426,7129,7274
+,9119,9391,8060,9864
+,2301,5942,5192,9233
+,5667,6283,6041,1410
+,1696,7484,5357,6460
+,6220,4323,7912,660
+,5243,8878,9920,1404
+,2445,3116,3142,7487
+,6335,3738,1633,9299
+,5107,4294,2821,6393
-,653,0,0,0
+,3801,2776,2037,2796
+,2156,809,611,8315
+,4435,9387,3030,7453
+,21,1441,9941,6816
+,1298,1058,5453,1054
+,5306,2317,1790,300
+,5132,9005,134,6727
+,5137,997,7430,7016
-,346,0,0,0
+,7571,4149,8407,5353
+,7989,5821,6661,1665
+,7533,3597,5637,2522
+,9406,480,9672,7036
+,2318,5182,3244,7622
+,730,4987,2120,1235
+,1016,2475,1745,9493
+,1924,9285,6386,4975
+,8284,3562,6375,3929
+,1179,4519,2445,9204
+,5070,5037,3402,624
+,201,7164,7653,5281
+,5461,3911,3598,1098
+,1620,5334,5921,1538
+,1196,5608,5766,1315
+,2415,7166,12,37
+,2534,7050,2348,9686
+,6219,8655,5898,2430
+,405,167,8273,1369
+,982,3456,3404,1996
+,8621,6243,2165,4397
+,6429,3020,3177,317
+,7751,8825,5779,7230
-,832,0,0,0
+,2706,7287,2754,3277
+,798,6121,9693,5326
+,4984,7975,1173,1979
